ФИО пассажира,Номер каюты,Тип каюты,Порт назначения
Новикова Ольга,100,2,Владивосток
Лебедева Иван,100,1,Калининград
Петрова Анна,100,1,Калининград
Лебедева Иван,100,1,Мурманск
Лебедева Пётр,100,Люкс,Мурманск
Петрова Алексей,100,1,Мурманск
Петрова Анна,100,1,Мурманск
Соколов Наталья,100,3,Мурманск
Козлов Мария,100,1,Одесса
Лебедева Анна,100,1,Одесса
Смирнов Сергей,100,2,Одесса
Иванов Сергей,100,1,Санкт-Петербург
Соколов Мария,101,2,Владивосток
Кузнецова Иван,101,Люкс,Калининград
Кузнецова Пётр,101,2,Мурманск
Лебедева Дмитрий,101,1,Мурманск
Попова Ольга,101,3,Мурманск
Смирнов Дмитрий,101,1,Мурманск
Новикова Мария,101,Люкс,Одесса
Попова Сергей,101,3,Одесса
Иванов Алексей,101,3,Санкт-Петербург
Новикова Пётр,101,3,Санкт-Петербург
Петрова Анна,101,Люкс,Санкт-Петербург
Петрова Мария,101,2,Санкт-Петербург
Новикова Ольга,101,Люкс,Севастополь
Новикова Анна,102,3,Владивосток
Петрова Пётр,102,3,Владивосток
Смирнов Ольга,102,3,Мурманск
Лебедева Сергей,102,Люкс,Санкт-Петербург
Попова Анна,102,3,Санкт-Петербург
Лебедева Дмитрий,102,Люкс,Севастополь
Иванов Сергей,103,3,Владивосток
Смирнов Иван,103,1,Калининград
Соколов Иван,103,Люкс,Калининград
Кузнецова Дмитрий,103,2,Мурманск
Новикова Сергей,103,Люкс,Мурманск
Смирнов Иван,103,2,Мурманск
Петрова Ольга,103,Люкс,Санкт-Петербург
Иванов Иван,103,2,Севастополь
Сидоров Анна,103,3,Севастополь
Лебедева Иван,104,Люкс,Владивосток
Иванов Дмитрий,104,1,Калининград
Сидоров Мария,104,Люкс,Мурманск
Сидоров Пётр,104,Люкс,Одесса
Смирнов Екатерина,104,Люкс,Одесса
Иванов Мария,104,2,Санкт-Петербург
Соколов Екатерина,104,3,Санкт-Петербург
Иванов Анна,105,Люкс,Владивосток
Петрова Мария,105,2,Владивосток
Попова Екатерина,105,2,Владивосток
Смирнов Наталья,105,1,Владивосток
Иванов Дмитрий,105,2,Калининград
Попова Мария,105,2,Калининград
Соколов Анна,105,Люкс,Калининград
Иванов Пётр,105,1,Мурманск
Кузнецова Сергей,105,Люкс,Одесса
Иванов Пётр,105,1,Санкт-Петербург
Кузнецова Екатерина,105,3,Санкт-Петербург
Петрова Сергей,105,2,Санкт-Петербург
Смирнов Сергей,105,3,Санкт-Петербург
Попова Алексей,105,2,Севастополь
Смирнов Сергей,105,Люкс,Севастополь
Иванов Екатерина,106,1,Калининград
Соколов Екатерина,106,2,Калининград
Соколов Ольга,106,Люкс,Мурманск
Сидоров Сергей,106,2,Санкт-Петербург
Козлов Екатерина,106,1,Севастополь
Козлов Ольга,107,Люкс,Владивосток
Попова Анна,107,Люкс,Владивосток
Смирнов Пётр,107,Люкс,Мурманск
Козлов Сергей,107,Люкс,Санкт-Петербург
Кузнецова Анна,107,Люкс,Санкт-Петербург
Кузнецова Мария,107,3,Севастополь
Попова Мария,108,3,Владивосток
Смирнов Алексей,108,Люкс,Владивосток
Смирнов Сергей,108,3,Калининград
Сидоров Сергей,108,3,Мурманск
Смирнов Анна,108,Люкс,Санкт-Петербург
Попова Анна,108,3,Севастополь
Лебедева Наталья,109,1,Одесса
Лебедева Ольга,109,2,Одесса
Соколов Екатерина,109,3,Одесса
Кузнецова Иван,109,1,Санкт-Петербург
Иванов Сергей,109,1,Севастополь
Смирнов Анна,109,1,Севастополь
Лебедева Пётр,110,2,Владивосток
Лебедева Пётр,110,Люкс,Калининград
Новикова Алексей,110,3,Калининград
Козлов Пётр,110,Люкс,Мурманск
Козлов Сергей,110,1,Мурманск
Кузнецова Дмитрий,110,2,Мурманск
Соколов Иван,110,1,Мурманск
Кузнецова Мария,110,3,Одесса
Кузнецова Сергей,110,1,Одесса
Лебедева Иван,110,2,Одесса
Иванов Мария,110,1,Санкт-Петербург
Иванов Екатерина,110,2,Севастополь
Иванов Сергей,110,2,Севастополь
Соколов Дмитрий,110,2,Севастополь
Соколов Пётр,110,Люкс,Севастополь
Соколов Дмитрий,111,3,Владивосток
Соколов Ольга,111,Люкс,Владивосток
Кузнецова Наталья,111,Люкс,Калининград
Лебедева Пётр,111,Люкс,Калининград
Попова Екатерина,111,2,Одесса
Попова Дмитрий,111,3,Санкт-Петербург
Лебедева Пётр,112,1,Владивосток
Сидоров Алексей,112,1,Владивосток
Кузнецова Анна,112,2,Калининград
Кузнецова Дмитрий,112,Люкс,Калининград
Новикова Мария,112,Люкс,Калининград
Иванов Наталья,112,1,Мурманск
Сидоров Наталья,112,1,Мурманск
Смирнов Екатерина,112,Люкс,Мурманск
Соколов Иван,112,Люкс,Мурманск
Козлов Екатерина,112,1,Одесса
Сидоров Сергей,112,3,Санкт-Петербург
Новикова Анна,112,Люкс,Севастополь
Новикова Екатерина,112,2,Севастополь
Петрова Дмитрий,112,2,Севастополь
Лебедева Наталья,113,2,Владивосток
Смирнов Дмитрий,113,1,Владивосток
Соколов Анна,113,3,Владивосток
Соколов Наталья,113,2,Владивосток
Кузнецова Анна,113,3,Калининград
Петрова Екатерина,113,1,Мурманск
Петрова Анна,113,2,Одесса
Кузнецова Иван,113,2,Санкт-Петербург
Иванов Ольга,114,Люкс,Калининград
Лебедева Пётр,114,1,Калининград
Иванов Анна,114,1,Мурманск
Смирнов Иван,114,2,Мурманск
Новикова Ольга,114,Люкс,Санкт-Петербург
Петрова Алексей,114,3,Санкт-Петербург
Соколов Сергей,114,3,Санкт-Петербург
Лебедева Сергей,114,3,Севастополь
Петрова Екатерина,114,3,Севастополь
Сидоров Пётр,114,2,Севастополь
Иванов Иван,115,3,Владивосток
Козлов Дмитрий,115,Люкс,Владивосток
Козлов Наталья,115,Люкс,Владивосток
Иванов Наталья,115,2,Мурманск
Иванов Ольга,115,1,Мурманск
Смирнов Иван,115,2,Мурманск
Козлов Анна,115,3,Одесса
Соколов Мария,115,3,Одесса
Козлов Екатерина,115,3,Санкт-Петербург
Кузнецова Мария,115,3,Санкт-Петербург
Попова Анна,115,3,Санкт-Петербург
Смирнов Наталья,115,2,Санкт-Петербург
Соколов Пётр,115,2,Севастополь
Иванов Ольга,116,2,Владивосток
Иванов Сергей,116,2,Владивосток
Лебедева Дмитрий,116,1,Владивосток
Соколов Мария,116,3,Владивосток
Петрова Алексей,116,1,Калининград
Соколов Анна,116,Люкс,Калининград
Смирнов Иван,116,2,Мурманск
Новикова Ольга,116,1,Одесса
Иванов Мария,116,1,Санкт-Петербург
Козлов Алексей,116,1,Санкт-Петербург
Соколов Анна,116,2,Санкт-Петербург
Соколов Анна,116,3,Севастополь
Попова Ольга,117,Люкс,Владивосток
Лебедева Сергей,117,3,Калининград
Козлов Анна,117,2,Мурманск
Кузнецова Иван,117,Люкс,Одесса
Петрова Екатерина,117,1,Санкт-Петербург
Сидоров Ольга,117,2,Санкт-Петербург
Соколов Екатерина,117,3,Санкт-Петербург
Иванов Мария,117,1,Севастополь
Лебедева Сергей,118,2,Владивосток
Козлов Мария,118,3,Калининград
Козлов Алексей,118,Люкс,Мурманск
Лебедева Алексей,118,1,Мурманск
Лебедева Сергей,118,3,Мурманск
Попова Ольга,118,Люкс,Мурманск
Козлов Алексей,118,Люкс,Одесса
Новикова Наталья,118,3,Одесса
Соколов Мария,118,Люкс,Одесса
Кузнецова Ольга,118,2,Санкт-Петербург
Кузнецова Ольга,118,Люкс,Севастополь
Петрова Анна,118,1,Севастополь
Козлов Мария,119,Люкс,Владивосток
Кузнецова Сергей,119,1,Владивосток
Лебедева Иван,119,3,Владивосток
