ФИО пассажира,Номер каюты,Тип каюты,Порт назначения
Лебедева Дмитрий,101,1,Мурманск
Козлов Мария,119,2,Санкт-Петербург
Лебедева Сергей,126,1,Одесса
Иванов Ольга,129,1,Севастополь
Кузнецова Анна,173,Люкс,Калининград
Иванов Дмитрий,179,2,Мурманск
Попова Анна,207,2,Одесса
Лебедева Екатерина,213,1,Владивосток
Лебедева Дмитрий,231,3,Владивосток
Козлов Иван,233,3,Владивосток
Петрова Анна,234,2,Калининград
Смирнов Дмитрий,240,2,Одесса
Лебедева Иван,254,Люкс,Санкт-Петербург
Петрова Екатерина,273,3,Одесса
Новикова Наталья,316,1,Одесса
Попова Наталья,320,2,Владивосток
Смирнов Сергей,335,1,Калининград
Сидоров Екатерина,335,Люкс,Одесса
Кузнецова Мария,340,3,Севастополь
Иванов Иван,346,2,Калининград
Новикова Дмитрий,360,3,Санкт-Петербург
Козлов Екатерина,387,1,Севастополь
Смирнов Алексей,390,2,Мурманск
Сидоров Пётр,398,3,Мурманск
Смирнов Екатерина,401,3,Владивосток
Иванов Ольга,405,3,Севастополь
Попова Мария,416,3,Мурманск
Смирнов Наталья,420,3,Мурманск
Лебедева Сергей,420,1,Одесса
Петрова Дмитрий,429,3,Мурманск
Новикова Дмитрий,430,1,Мурманск
Петрова Мария,430,2,Одесса
Сидоров Анна,440,Люкс,Одесса
Козлов Мария,442,2,Севастополь
Лебедева Дмитрий,450,3,Калининград
Смирнов Иван,453,2,Одесса
Новикова Екатерина,457,3,Одесса
Попова Алексей,463,2,Мурманск
Лебедева Иван,467,Люкс,Владивосток
Новикова Анна,482,Люкс,Одесса
Соколов Анна,483,Люкс,Владивосток
Соколов Ольга,506,1,Санкт-Петербург
Новикова Пётр,515,2,Одесса
Козлов Пётр,515,Люкс,Севастополь
Сидоров Екатерина,537,1,Севастополь
Смирнов Наталья,545,1,Санкт-Петербург
Соколов Екатерина,546,2,Севастополь
Лебедева Алексей,548,2,Севастополь
Иванов Пётр,552,1,Мурманск
Соколов Екатерина,557,2,Одесса
Попова Алексей,567,Люкс,Мурманск
Новикова Наталья,579,1,Севастополь
Петрова Иван,636,Люкс,Севастополь
Кузнецова Пётр,640,Люкс,Калининград
Козлов Сергей,640,2,Севастополь
Смирнов Мария,642,2,Калининград
Козлов Екатерина,644,Люкс,Владивосток
Лебедева Алексей,652,3,Владивосток
Смирнов Екатерина,660,2,Мурманск
Смирнов Сергей,663,Люкс,Севастополь
Попова Дмитрий,669,3,Калининград
Козлов Наталья,676,3,Санкт-Петербург
Петрова Ольга,679,3,Владивосток
Иванов Мария,687,1,Калининград
Новикова Наталья,688,2,Владивосток
Петрова Екатерина,689,1,Севастополь
Лебедева Наталья,697,Люкс,Мурманск
Сидоров Дмитрий,710,3,Владивосток
Козлов Екатерина,726,Люкс,Мурманск
Петрова Мария,727,2,Мурманск
Петрова Алексей,741,Люкс,Владивосток
Петрова Мария,743,Люкс,Одесса
Лебедева Иван,766,1,Севастополь
Лебедева Иван,778,3,Одесса
Попова Дмитрий,784,2,Санкт-Петербург
Попова Пётр,786,1,Мурманск
Смирнов Пётр,794,3,Санкт-Петербург
Козлов Наталья,799,1,Одесса
Петрова Анна,800,3,Севастополь
Петрова Сергей,804,1,Одесса
Новикова Анна,817,Люкс,Калининград
Соколов Ольга,819,1,Владивосток
Кузнецова Алексей,823,2,Владивосток
Кузнецова Ольга,832,3,Калининград
Сидоров Наталья,832,1,Севастополь
Кузнецова Екатерина,853,3,Калининград
Петрова Дмитрий,858,1,Севастополь
Новикова Ольга,876,2,Санкт-Петербург
Иванов Пётр,889,Люкс,Мурманск
Попова Сергей,913,3,Санкт-Петербург
Иванов Сергей,918,1,Мурманск
Козлов Дмитрий,923,Люкс,Санкт-Петербург
Петрова Екатерина,924,1,Владивосток
Кузнецова Дмитрий,924,Люкс,Санкт-Петербург
Кузнецова Алексей,944,1,Севастополь
Кузнецова Пётр,947,3,Калининград
Попова Пётр,947,1,Санкт-Петербург
Козлов Екатерина,958,1,Одесса
Соколов Алексей,982,3,Владивосток
Сидоров Ольга,993,2,Одесса
