ФИО пассажира,Номер каюты,Тип каюты,Порт назначения
Лебедева Иван,100,1,Калининград
Петрова Анна,100,1,Мурманск
Иванов Сергей,100,1,Санкт-Петербург
Лебедева Дмитрий,101,1,Мурманск
Попова Ольга,101,3,Мурманск
Смирнов Дмитрий,101,1,Мурманск
Новикова Анна,102,3,Владивосток
Петрова Пётр,102,3,Владивосток
Смирнов Ольга,102,3,Мурманск
Новикова Сергей,103,Люкс,Мурманск
Смирнов Иван,103,2,Мурманск
Иванов Иван,103,2,Севастополь
Сидоров Анна,103,3,Севастополь
Сидоров Мария,104,Люкс,Мурманск
Петрова Мария,105,2,Владивосток
Попова Екатерина,105,2,Владивосток
Смирнов Наталья,105,1,Владивосток
Иванов Дмитрий,105,2,Калининград
Соколов Анна,105,Люкс,Калининград
Кузнецова Сергей,105,Люкс,Одесса
Иванов Пётр,105,1,Санкт-Петербург
Кузнецова Екатерина,105,3,Санкт-Петербург
Попова Алексей,105,2,Севастополь
Соколов Екатерина,106,2,Калининград
Смирнов Пётр,107,Люкс,Мурманск
Попова Мария,108,3,Владивосток
Смирнов Алексей,108,Люкс,Владивосток
Смирнов Анна,108,Люкс,Санкт-Петербург
Попова Анна,108,3,Севастополь
Кузнецова Иван,109,1,Санкт-Петербург
Лебедева Пётр,110,Люкс,Калининград
Новикова Алексей,110,3,Калининград
Козлов Сергей,110,1,Мурманск
Кузнецова Дмитрий,110,2,Мурманск
Кузнецова Сергей,110,1,Одесса
Иванов Мария,110,1,Санкт-Петербург
Попова Екатерина,111,2,Одесса
Попова Дмитрий,111,3,Санкт-Петербург
Лебедева Пётр,112,1,Владивосток
Сидоров Алексей,112,1,Владивосток
Кузнецова Дмитрий,112,Люкс,Калининград
Козлов Екатерина,112,1,Одесса
Соколов Наталья,113,2,Владивосток
Лебедева Пётр,114,1,Калининград
Иванов Анна,114,1,Мурманск
Соколов Сергей,114,3,Санкт-Петербург
Петрова Екатерина,114,3,Севастополь
Сидоров Пётр,114,2,Севастополь
Козлов Дмитрий,115,Люкс,Владивосток
Козлов Наталья,115,Люкс,Владивосток
Смирнов Иван,115,2,Мурманск
Козлов Анна,115,3,Одесса
Козлов Екатерина,115,3,Санкт-Петербург
Козлов Алексей,116,1,Санкт-Петербург
Козлов Анна,117,2,Мурманск
Петрова Екатерина,117,1,Санкт-Петербург
